iter	Passed	Remaining
904	2181	228
905	2183	226
906	2186	224
907	2189	221
908	2191	219
909	2194	217
910	2197	214
911	2199	212
912	2202	209
913	2204	207
914	2207	205
915	2209	202
916	2211	200
917	2214	197
918	2216	195
919	2218	192
920	2220	190
921	2223	188
922	2225	185
923	2228	183
924	2231	180
925	2233	178
926	2236	176
927	2238	173
928	2240	171
929	2243	168
930	2245	166
931	2247	164
932	2250	161
933	2252	159
934	2254	156
935	2256	154
936	2259	151
937	2261	149
938	2263	147
939	2265	144
940	2267	142
941	2269	139
942	2272	137
943	2274	134
944	2277	132
945	2279	130
946	2281	127
947	2283	125
948	2285	122
949	2288	120
950	2291	118
951	2293	115
952	2295	113
953	2298	110
954	2301	108
955	2303	106
956	2305	103
957	2308	101
958	2310	98
959	2313	96
960	2315	93
961	2317	91
962	2319	89
963	2321	86
964	2323	84
965	2325	81
966	2327	79
967	2329	77
968	2331	74
969	2333	72
970	2335	69
971	2345	67
972	2347	65
973	2349	62
974	2351	60
975	2353	57
976	2354	55
977	2356	53
978	2358	50
979	2360	48
980	2362	45
981	2364	43
982	2366	40
983	2367	38
984	2369	36
985	2371	33
986	2373	31
987	2375	28
988	2377	26
989	2379	24
990	2381	21
991	2382	19
992	2384	16
993	2386	14
994	2388	12
995	2390	9
996	2392	7
997	2394	4
998	2396	2
999	2397	0
